,unique_key,date,arrest,domestic,community_area,longitude,latitude,year
238,23859,2018-03-13 17:46:00+00:00,True,False,2.0,-87.693586328,42.011301687,2018
239,5067,2009-06-16 14:35:00+00:00,False,False,2.0,-87.679842939,41.991164248,2009
240,1016,2001-08-18 17:17:00+00:00,True,False,2.0,-87.680936618,41.999693927,2001
241,22394,2016-03-23 16:19:00+00:00,False,False,2.0,-87.684382188,42.017229594,2016
242,2224,2003-06-20 12:08:00+00:00,True,False,2.0,-87.695715451,41.989329827,2003
243,20734,2012-12-20 04:26:00+00:00,False,False,2.0,-87.701436581,42.004819495,2012
244,3968,2007-02-17 07:29:00+00:00,True,True,2.0,-87.69637604,41.999443101,2007
245,22512,2016-05-30 23:44:00+00:00,False,False,2.0,-87.694786705,41.998342083,2016
246,20133,2011-11-03 09:30:00+00:00,True,False,3.0,-87.668128481,41.973709731,2011
247,2266,2003-07-10 22:03:00+00:00,True,False,3.0,-87.65097573,41.96450654,2003
248,2182,2003-05-25 15:29:00+00:00,True,False,3.0,-87.656747535,41.973286475,2003
249,23059,2017-01-01 05:19:00+00:00,True,False,3.0,-87.657908498,41.966081547,2017
250,20603,2012-09-02 05:11:00+00:00,True,False,3.0,-87.655828955,41.961760892,2012
251,20037,2011-08-28 21:12:00+00:00,True,False,3.0,-87.658967082,41.96298133,2011
252,2211,2003-06-14 01:09:00+00:00,False,False,3.0,-87.658403947,41.975228142,2003
253,4248,2007-09-10 04:55:00+00:00,False,False,3.0,-87.652387695,41.964849717,2007
254,1464,2002-05-03 06:00:00+00:00,True,True,3.0,-87.652747282,41.958010544,2002
255,21460,2014-07-06 01:05:00+00:00,False,False,3.0,-87.662337129,41.962084512,2014
256,2175,2003-05-22 13:50:00+00:00,True,False,3.0,-87.658435722,41.973263481,2003
257,22770,2016-09-06 16:34:00+00:00,False,False,3.0,-87.656181766,41.96455383,2016
258,4229,2007-09-01 05:25:00+00:00,True,False,3.0,-87.64255203,41.96245015,2007
259,20173,2011-12-04 01:56:00+00:00,False,False,3.0,-87.657618053,41.968165433,2011
260,2858,2004-08-15 06:45:00+00:00,True,True,3.0,-87.662730846,41.967665781,2004
261,3685,2006-07-09 18:05:00+00:00,True,False,3.0,-87.65886264,41.965911528,2006
262,23693,2017-11-13 18:15:00+00:00,True,False,3.0,-87.660544329,41.967186473,2017
263,2596,2004-02-09 20:41:00+00:00,True,False,3.0,-87.657643559,41.969927361,2004
264,3136,2005-05-06 22:20:00+00:00,True,False,3.0,-87.669366722,41.966022154,2005
265,23679,2017-11-02 20:17:00+00:00,True,False,3.0,-87.659532372,41.968654176,2017
266,23356,2017-06-11 22:46:00+00:00,True,True,3.0,-87.663950253,41.96604284,2017
267,4540,2008-05-21 21:14:00+00:00,True,False,3.0,-87.656913808,41.964522471,2008
268,851,2001-06-05 13:25:00+00:00,False,False,3.0,-87.655170335,41.969086773,2001
269,21163,2013-11-18 19:07:00+00:00,True,False,4.0,-87.689341576,41.969911966,2013
270,4151,2007-07-09 01:50:00+00:00,True,False,4.0,-87.694181501,41.963959389,2007
271,22347,2016-02-22 07:55:00+00:00,True,False,4.0,-87.68389328,41.962535036,2016
272,4765,2008-09-28 02:29:00+00:00,False,False,4.0,-87.693726873,41.966034222,2008
273,1694,2002-08-17 07:20:00+00:00,False,False,5.0,-87.683807247,41.939505116,2002
274,19113,2009-10-04 19:26:00+00:00,True,False,5.0,-87.687437701,41.960354177,2009
275,3371,2005-10-04 12:03:00+00:00,True,False,5.0,-87.680697233,41.936674656,2005
276,1635,2002-07-25 07:30:00+00:00,True,False,5.0,-87.681382901,41.932864085,2002
277,4703,2008-08-24 05:00:00+00:00,True,False,5.0,-87.6886628,41.960643716,2008
278,1724,2002-08-11 19:10:00+00:00,True,False,6.0,-87.671364054,41.949612343,2002
279,19779,2011-02-07 21:30:00+00:00,True,False,6.0,-87.669015127,41.953144297,2011
